m_title,thtr_rel_year,bechdel,genre,avg_score,critics_score,audience_score,rt_url,mpaa_rating,actor1,actor2,top200_box,imdb_id
Waiting for Guffman,1996,PASS,Comedy,91,91,91,//www.rottentomatoes.com/m/waiting_for_guffman/,R,Christopher Guest,Catherine O'Hara,no,tt0118111
The Age of Innocence,1993,PASS,Drama,78,80,76,//www.rottentomatoes.com/m/age_of_innocence/,PG,Daniel Day-Lewis,Michelle Pfeiffer,no,tt0106226
Burn After Reading,2008,FAIL,Drama,71,78,64,//www.rottentomatoes.com/m/burn_after_reading/,R,George Clooney,Frances McDormand,no,tt0887883
Meet Joe Black,1998,FAIL,Drama,66,51,81,//www.rottentomatoes.com/m/meet_joe_black/,PG-13,Brad Pitt,Anthony Hopkins,no,tt0119643
The Bay,2012,FAIL,Horror,60,77,43,//www.rottentomatoes.com/m/the_bay_2012/,R,Kristen Connolly,Will Rogers (IV),no,tt1713476
The Muppet Christmas Carol,1992,PASS,Other,77,69,85,//www.rottentomatoes.com/m/muppet_christmas_carol/,G,Michael Caine,Steve Whitmire,no,tt0104940
Die Hard 2,1990,PASS,Mystery & Suspense,69.5,69,70,//www.rottentomatoes.com/m/die_hard_2_1990/,R,Bruce Willis,Bonnie Bedelia,no,tt0099423
Alice in Wonderland,2010,PASS,Action & Adventure,53.5,52,55,//www.rottentomatoes.com/m/1221547-alice_in_wonderland/,PG,Johnny Depp,Mia Wasikowska,no,tt1014759
Aliens,1986,PASS,Action & Adventure,96,98,94,//www.rottentomatoes.com/m/1000617-aliens/,R,Sigourney Weaver,Carrie Henn,no,tt0090605
Driving Miss Daisy,1989,PASS,Drama,81,81,81,//www.rottentomatoes.com/m/driving_miss_daisy/,PG,Jessica Tandy,Morgan Freeman,no,tt0097239
Serpico,1973,FAIL,Drama,89,90,88,//www.rottentomatoes.com/m/serpico/,R,Al Pacino,John Randolph,no,tt0070666
Basic,2003,PASS,Drama,42.5,21,64,//www.rottentomatoes.com/m/basic/,R,John Travolta,Connie Nielsen,no,tt0264395
The Color Purple,1985,PASS,Drama,91,88,94,//www.rottentomatoes.com/m/color_purple/,PG-13,Whoopi Goldberg,Danny Glover,no,tt0088939
The Dream Team,1989,FAIL,Comedy,58,54,62,//www.rottentomatoes.com/m/1006287-dream_team/,PG-13,Michael Keaton,Christopher Lloyd,no,tt0097235
Rising Sun,1993,FAIL,Drama,37.5,35,40,//www.rottentomatoes.com/m/rising_sun/,R,Sean Connery,Wesley Snipes,no,tt0107969
Seven Pounds,2008,PASS,Drama,51,27,75,//www.rottentomatoes.com/m/seven_pounds/,PG-13,Rosario Dawson,Woody Harrelson,no,tt0814314
The Mothman Prophecies,2002,FAIL,Mystery & Suspense,54,52,56,//www.rottentomatoes.com/m/mothman_prophecies/,PG-13,Richard Gere,Laura Linney,no,tt0265349
The English Patient,1996,PASS,Drama,83.5,84,83,//www.rottentomatoes.com/m/english_patient/,R,Ralph Fiennes,Juliette Binoche,no,tt0116209
Then She Found Me,2007,PASS,Drama,47,50,44,//www.rottentomatoes.com/m/then_she_found_me/,R,Helen Hunt,Bette Midler,no,tt0455805
The Recruit,2003,FAIL,Mystery & Suspense,50.5,43,58,//www.rottentomatoes.com/m/recruit/,PG-13,Al Pacino,Colin Farrell,no,tt0292506
Alvin and the Chipmunks: Chipwrecked,2011,PASS,Other,32,12,52,//www.rottentomatoes.com/m/alvin_and_the_chipmunks_chipwrecked_2011/,G,Jason Lee,Justin Long,no,tt1615918
Waking Up in Reno,2002,PASS,Comedy,21.5,13,30,//www.rottentomatoes.com/m/waking_up_in_reno/,R,Charlize Theron,Patrick Swayze,no,tt0219400
Rock 'n' Roll High School,1979,PASS,Comedy,77,79,75,//www.rottentomatoes.com/m/1017745-rock_n_roll_high_school/,PG,P.J. Soles,Vincent Van Patten,no,tt0079813
Rio 2,2014,PASS,Other,53.5,48,59,//www.rottentomatoes.com/m/rio_2/,G,Anne Hathaway,Jesse Eisenberg,no,tt2357291
Strange Brew,1983,FAIL,Comedy,76,71,81,//www.rottentomatoes.com/m/strange_brew/,R,Max von Sydow,Paul Dooley,no,tt0086373
Warrior,2011,FAIL,Drama,87,82,92,//www.rottentomatoes.com/m/1212910-warrior/,PG-13,Joel Edgerton,Tom Hardy,no,tt1291584
Percy Jackson: Sea of Monsters,2013,PASS,Drama,48.5,42,55,//www.rottentomatoes.com/m/percy_jackson_sea_of_monsters/,PG,Logan Lerman,Brandon T. Jackson,no,tt1854564
Blame It on Rio,1984,PASS,Comedy,24.5,9,40,//www.rottentomatoes.com/m/blame_it_on_rio/,R,Michael Caine,Michelle Johnson,no,tt0086973
Predator,1987,FAIL,Action & Adventure,82.5,78,87,//www.rottentomatoes.com/m/predator/,R,Arnold Schwarzenegger,Carl Weathers,no,tt0093773
The Reef,2010,FAIL,Mystery & Suspense,59.5,78,41,//www.rottentomatoes.com/m/the_reef_2009/,R,Damian Walshe-Howling,Zoe Naylor,no,tt1320291
Annie Hall,1977,PASS,Comedy,95.5,98,93,//www.rottentomatoes.com/m/annie_hall/,PG,Woody Allen,Diane Keaton,no,tt0075686
The Sessions,2012,FAIL,Drama,86.5,93,80,//www.rottentomatoes.com/m/the_sessions/,R,John Hawkes,Helen Hunt,no,tt1866249
Django Unchained,2012,FAIL,Other,89.5,88,91,//www.rottentomatoes.com/m/django_unchained_2012/,R,Jamie Foxx,Christoph Waltz,no,tt1853728
