m_title,thtr_rel_year,bechdel,genre,avg_score,critics_score,audience_score,rt_url,mpaa_rating,actor1,actor2,top200_box,imdb_id
Lethal Weapon 4,1998,FAIL,Action & Adventure,58,52,64,//www.rottentomatoes.com/m/lethal_weapon_4/,R,Danny Glover,Mel Gibson,no,tt0122151
101 Dalmatians,1996,PASS,Action & Adventure,39,38,40,//www.rottentomatoes.com/m/1074108-101_dalmatians/,G,Glenn Close,Jeff Daniels,yes,tt0115433
Deep Impact,1998,PASS,Drama,45.5,48,43,//www.rottentomatoes.com/m/deep_impact/,PG-13,Robert Duvall,Tea Leoni,no,tt0120647
The Room,2003,PASS,Drama,40.5,35,46,//www.rottentomatoes.com/m/the_room_1998/,R,Tommy Wiseau,Juliette Danielle,no,tt0368226
Made of Honor,2008,FAIL,Comedy,34.5,14,55,//www.rottentomatoes.com/m/made_of_honor/,PG-13,Patrick Dempsey,Michelle Monaghan,no,tt0866439
Grosse Pointe Blank,1997,PASS,Drama,83,79,87,//www.rottentomatoes.com/m/grosse_pointe_blank/,R,John Cusack,Minnie Driver,no,tt0119229
Jack and Jill,2011,PASS,Comedy,20,3,37,//www.rottentomatoes.com/m/jack_and_jill_2011/,PG,Adam Sandler,Al Pacino,no,tt0810913
Space Jam,1996,FAIL,Comedy,49.5,36,63,//www.rottentomatoes.com/m/space_jam/,PG,Michael Jordan,Charles Barkley,no,tt0117705
Fantastic Four: Rise of the Silver Surfer,2007,PASS,Action & Adventure,44,37,51,//www.rottentomatoes.com/m/fantastic_four_2_rise_of_the_silver_surfer/,PG,Ioan Gruffudd,Jessica Alba,no,tt0486576
The Hangover,2009,FAIL,Comedy,81.5,79,84,//www.rottentomatoes.com/m/10010667-hangover/,R,Bradley Cooper,Ed Helms,yes,tt1119646
K-19: The Widowmaker,2002,FAIL,Drama,56,60,52,//www.rottentomatoes.com/m/k19_the_widowmaker/,PG-13,Harrison Ford,Liam Neeson,no,tt0267626
What's Eating Gilbert Grape,1993,PASS,Drama,89,89,89,//www.rottentomatoes.com/m/whats_eating_gilbert_grape/,PG-13,Johnny Depp,Leonardo DiCaprio,no,tt0108550
Hairspray,2007,PASS,Other,88,91,85,//www.rottentomatoes.com/m/hairspray/,PG,John Travolta,Michelle Pfeiffer,no,tt0427327
Godzilla,2014,FAIL,Mystery & Suspense,70,74,66,//www.rottentomatoes.com/m/godzilla_2014/,PG-13,Aaron Taylor-Johnson,Elizabeth Olsen,no,tt0831387
The Legend of Hercules,2014,FAIL,Action & Adventure,18,3,33,//www.rottentomatoes.com/m/the_legend_of_hercules/,PG-13,Kellan Lutz,Liam McIntyre,no,tt1043726
Clerks II,2006,PASS,Drama,73.5,63,84,//www.rottentomatoes.com/m/clerks_2/,R,Brian O'Halloran,Jeff Anderson,no,tt0424345
White House Down,2013,FAIL,Drama,56.5,51,62,//www.rottentomatoes.com/m/white_house_down/,PG-13,Channing Tatum,Jamie Foxx,no,tt2334879
Something's Gotta Give,2003,PASS,Comedy,70,71,69,//www.rottentomatoes.com/m/somethings_gotta_give/,PG-13,Jack Nicholson,Diane Keaton,no,tt0337741
Groundhog Day,1993,FAIL,Other,91.5,96,87,//www.rottentomatoes.com/m/groundhog_day/,PG,Bill Murray,Andie MacDowell,no,tt0107048
Conviction,2010,PASS,Drama,68.5,67,70,//www.rottentomatoes.com/m/conviction_2010/,R,Sam Rockwell,Minnie Driver,no,tt1244754
Bounce,2e3,FAIL,Drama,42.5,52,33,//www.rottentomatoes.com/m/bounce/,PG-13,Ben Affleck,Gwyneth Paltrow,no,tt0186894
Resident Evil,2002,PASS,Action & Adventure,50.5,33,68,//www.rottentomatoes.com/m/resident_evil/,R,Milla Jovovich,Michelle Rodriguez,no,tt0120804
Top Gun,1986,FAIL,Drama,68.5,54,83,//www.rottentomatoes.com/m/top_gun/,PG,Tom Cruise,Kelly McGillis,yes,tt0092099
Where the Heart Is,1990,PASS,Drama,34.5,11,58,//www.rottentomatoes.com/m/1028561-where_the_heart_is/,R,Dabney Coleman,Uma Thurman,no,tt0100924
Osmosis Jones,2001,PASS,Comedy,48,55,41,//www.rottentomatoes.com/m/osmosis_jones/,PG,Bill Murray,Chris Rock,no,tt0181739
Drive,2011,PASS,Drama,85.5,92,79,//www.rottentomatoes.com/m/drive_2011/,R,Ryan Gosling,Carey Mulligan,no,tt0780504
Topsy-Turvy,1999,PASS,Drama,84,89,79,//www.rottentomatoes.com/m/topsyturvy/,R,Jim Broadbent,Allan Corduner,no,tt0151568
Top Secret!,1984,FAIL,Comedy,78,76,80,//www.rottentomatoes.com/m/1021699-top_secret/,PG,Val Kilmer,Omar Sharif,no,tt0088286
Wimbledon,2004,PASS,Drama,58.5,60,57,//www.rottentomatoes.com/m/wimbledon/,PG-13,Kirsten Dunst,Paul Bettany,no,tt0360201
Mission: Impossible,1996,FAIL,Mystery & Suspense,67,63,71,//www.rottentomatoes.com/m/mission_impossible/,PG-13,Tom Cruise,Jon Voight,yes,tt0117060
Madea Goes to Jail,2009,FAIL,Drama,49.5,29,70,//www.rottentomatoes.com/m/madea-goes-to-jail/,PG-13,Tyler Perry,Derek Luke,no,tt1142800
Beverly Hills Cop,1984,FAIL,Action & Adventure,82,83,81,//www.rottentomatoes.com/m/beverly_hills_cop/,R,Eddie Murphy,Judge Reinhold,yes,tt0086960
The Raven,2012,FAIL,Mystery & Suspense,34,22,46,//www.rottentomatoes.com/m/the_raven_2012/,R,Luke Evans,John Cusack,no,tt1486192
Nick and Norah's Infinite Playlist,2008,PASS,Comedy,69.5,74,65,//www.rottentomatoes.com/m/nick_and_norahs_infinite_playlist/,PG-13,Michael Cera,Kat Dennings,no,tt0981227
The Interview,2014,FAIL,Comedy,49.5,51,48,//www.rottentomatoes.com/m/the_interview_2014/,R,James Franco,Seth Rogen,no,tt2788710
Volcano,1997,PASS,Drama,37.5,44,31,//www.rottentomatoes.com/m/1076267-volcano/,PG-13,Tommy Lee Jones,Anne Heche,no,tt0120461
Where the Heart Is,2e3,PASS,Drama,56,35,77,//www.rottentomatoes.com/m/1096832-where_the_heart_is/,PG-13,Natalie Portman,Ashley Judd,no,tt0198021
Kick-Ass 2,2013,PASS,Action & Adventure,44,30,58,//www.rottentomatoes.com/m/kick_ass_2_2013/,R,Aaron Taylor-Johnson,Christopher Mintz-Plasse,no,tt1650554
Lethal Weapon,1987,FAIL,Drama,84.5,84,85,//www.rottentomatoes.com/m/lethal_weapon/,R,Mel Gibson,Danny Glover,no,tt0093409
Closet Land,1991,FAIL,Mystery & Suspense,65,44,86,//www.rottentomatoes.com/m/closet_land/,R,Madeleine Stowe,Alan Rickman,no,tt0101597
Cast Away,2e3,FAIL,Drama,86.5,90,83,//www.rottentomatoes.com/m/cast_away/,PG-13,Tom Hanks,Helen Hunt,yes,tt0162222
Lost and Delirious,2001,PASS,Drama,64.5,51,78,//www.rottentomatoes.com/m/lost_and_delirious/,R,Piper Perabo,Jessica Pare,no,tt0245238
Project X,2012,FAIL,Drama,44.5,28,61,//www.rottentomatoes.com/m/project_x_2011/,R,Thomas Mann,Oliver Cooper,no,tt1636826
The Devil's Rejects,2005,PASS,Horror,65.5,53,78,//www.rottentomatoes.com/m/devils_rejects/,R,Sid Haig,Bill Moseley,no,tt0395584
Kindergarten Cop,1990,PASS,Action & Adventure,51,51,51,//www.rottentomatoes.com/m/kindergarten_cop/,PG-13,Arnold Schwarzenegger,Penelope Ann Miller,no,tt0099938
In the Loop,2009,PASS,Other,87.5,94,81,//www.rottentomatoes.com/m/in_the_loop/,Unrated,Tom Hollander,Peter Capaldi,no,tt1226774
Cypher,2002,FAIL,Action & Adventure,61.5,58,65,//www.rottentomatoes.com/m/cypher/,R,Jeremy Northam,Lucy Liu,no,tt0284978
Love and Death,1975,PASS,Drama,95,100,90,//www.rottentomatoes.com/m/love_and_death/,PG,Woody Allen,Diane Keaton,no,tt0073312
Waking Life,2001,PASS,Drama,83.5,80,87,//www.rottentomatoes.com/m/waking_life/,R,Lorelei Linklater,Trevor Jack Brooks,no,tt0243017
Being John Malkovich,1999,PASS,Drama,90,93,87,//www.rottentomatoes.com/m/being_john_malkovich/,R,John Cusack,Cameron Diaz,no,tt0120601
Secondhand Lions,2003,FAIL,Drama,71.5,59,84,//www.rottentomatoes.com/m/secondhand_lions/,PG,Michael Caine,Robert Duvall,no,tt0327137
200 Cigarettes,1999,PASS,Drama,43.5,28,59,//www.rottentomatoes.com/m/200_cigarettes/,R,Ben Affleck,Martha Plimpton,no,tt0137338
The Slumber Party Massacre,1982,PASS,Horror,40.5,36,45,//www.rottentomatoes.com/m/slumber_party_massacre/,R,Michele Michaels,Robin Stille,no,tt0084695
Oliver & Company,1988,FAIL,Other,53,43,63,//www.rottentomatoes.com/m/oliver_and_company/,G,Joey Lawrence,Billy Joel,no,tt0095776
Speed,1994,PASS,Mystery & Suspense,84.5,93,76,//www.rottentomatoes.com/m/1052692-1052692-speed/,R,Keanu Reeves,Dennis Hopper,no,tt0111257
Me and You and Everyone We Know,2005,PASS,Drama,82.5,81,84,//www.rottentomatoes.com/m/me_and_you_and_everyone_we_know/,R,John Hawkes,Miranda July,no,tt0415978
Grease,1978,PASS,Other,83,78,88,//www.rottentomatoes.com/m/grease/,PG,John Travolta,Olivia Newton-John,yes,tt0077631
Winter's Bone,2010,PASS,Drama,85,94,76,//www.rottentomatoes.com/m/10012136-winters_bone/,R,Jennifer Lawrence,John Hawkes,no,tt1399683
Sleepover,2004,PASS,Comedy,35,15,55,//www.rottentomatoes.com/m/sleepover/,PG,Alexa Vega,Mika Boorem,no,tt0368975
Patch Adams,1998,PASS,Drama,48,22,74,//www.rottentomatoes.com/m/patch_adams/,PG-13,Robin Williams,Daniel London,no,tt0129290
Harry Potter and the Chamber of Secrets,2002,PASS,Other,80.5,82,79,//www.rottentomatoes.com/m/harry_potter_and_the_chamber_of_secrets/,PG,Daniel Radcliffe,Emma Watson,yes,tt0295297
Apollo 18,2011,FAIL,Other,23.5,24,23,//www.rottentomatoes.com/m/apollo_18/,PG-13,Warren Christie,Lloyd Owen,no,tt1772240
Young Adult,2011,PASS,Drama,64.5,80,49,//www.rottentomatoes.com/m/young_adult/,R,Charlize Theron,Patton Oswalt,no,tt1625346
Compliance,2012,PASS,Drama,74.5,89,60,//www.rottentomatoes.com/m/compliance_2012/,R,Ann Dowd,Dreama Walker,no,tt1971352
Maniac,1980,PASS,Drama,50.5,43,58,//www.rottentomatoes.com/m/maniac_1980/,R,Joe Spinell,Caroline Munro,no,tt0081114
The Brothers Solomon,2007,FAIL,Comedy,23,15,31,//www.rottentomatoes.com/m/brothers_solomon/,R,Will Arnett,Will Forte,no,tt0784972
Maurice,1987,FAIL,Drama,89,91,87,//www.rottentomatoes.com/m/maurice/,R,James Wilby,Hugh Grant,no,tt0093512
The Last Boy Scout,1991,PASS,Drama,55,42,68,//www.rottentomatoes.com/m/last_boy_scout/,R,Bruce Willis,Damon Wayans,no,tt0102266
RoboCop,1987,FAIL,Drama,85.5,88,83,//www.rottentomatoes.com/m/1017712-robocop/,R,Peter Weller,Nancy Allen,no,tt0093870
The Sure Thing,1985,PASS,Comedy,83,87,79,//www.rottentomatoes.com/m/sure_thing/,PG-13,John Cusack,Daphne Zuniga,no,tt0090103
Hollywood Homicide,2003,FAIL,Action & Adventure,28.5,30,27,//www.rottentomatoes.com/m/hollywood_homicide/,PG-13,Harrison Ford,Josh Hartnett,no,tt0329717
Morning Glory,2010,PASS,Comedy,53.5,56,51,//www.rottentomatoes.com/m/morning-glory-2010/,PG-13,Rachel McAdams,Harrison Ford,no,tt1126618
Hot Shots! Part Deux,1993,PASS,Action & Adventure,61,59,63,//www.rottentomatoes.com/m/hot_shots_part_deux/,PG-13,Charlie Sheen,Lloyd Bridges,no,tt0107144
Control,2007,FAIL,Other,88,87,89,//www.rottentomatoes.com/m/control/,R,Sam Riley,Samantha Morton,no,tt0421082
Aladdin,1992,FAIL,Action & Adventure,93,94,92,//www.rottentomatoes.com/m/1042582-aladdin/,G,Robin Williams,Linda Larkin,yes,tt0103639
Bound,1996,PASS,Mystery & Suspense,87,92,82,//www.rottentomatoes.com/m/bound/,R,Jennifer Tilly,Gina Gershon,no,tt0115736
The Pact,2012,PASS,Horror,53,65,41,//www.rottentomatoes.com/m/the_pact_2012/,R,Caity Lotz,Jewel Staite,no,tt2040560
Epic Movie,2007,PASS,Action & Adventure,15.5,2,29,//www.rottentomatoes.com/m/epic_movie/,R,Kal Penn,Adam Campbell,no,tt0799949
Below,2002,FAIL,Mystery & Suspense,54,63,45,//www.rottentomatoes.com/m/below/,R,Matthew Davis,Bruce Greenwood,no,tt0276816
Phantom of the Paradise,1974,FAIL,Horror,89.5,95,84,//www.rottentomatoes.com/m/phantom_of_the_paradise/,PG,William Finley,Paul Williams,no,tt0071994
Fair Game,2010,PASS,Drama,72,79,65,//www.rottentomatoes.com/m/fair-game-2010/,PG-13,Naomi Watts,Sean Penn,no,tt0977855
Hercules,2014,FAIL,Action & Adventure,54.5,60,49,//www.rottentomatoes.com/m/hercules_the_thracian_wars/,PG-13,"Dwayne ""The Rock"" Johnson",Ian McShane,no,tt1267297
Curdled,1996,PASS,Drama,37,17,57,//www.rottentomatoes.com/m/curdled/,R,Angela Jones,William Baldwin,no,tt0115994
Tank Girl,1995,PASS,Action & Adventure,50.5,38,63,//www.rottentomatoes.com/m/tank_girl/,R,Lori Petty,Malcolm McDowell,no,tt0114614
Missing,1982,PASS,Mystery & Suspense,90.5,96,85,//www.rottentomatoes.com/m/1014007-missing/,PG,Jack Lemmon,Sissy Spacek,no,tt0084335
Point Break,1991,FAIL,Mystery & Suspense,73.5,68,79,//www.rottentomatoes.com/m/point_break/,R,Keanu Reeves,Patrick Swayze,no,tt0102685
Cloud Atlas,2012,PASS,Drama,66,66,66,//www.rottentomatoes.com/m/cloud_atlas_2012/,R,Tom Hanks,Halle Berry,no,tt1371111
The Five Heartbeats,1991,FAIL,Other,66.5,38,95,//www.rottentomatoes.com/m/five_heartbeats/,R,Michael Wright,Tico Wells,no,tt0101891
The Fighter,2010,FAIL,Other,89.5,90,89,//www.rottentomatoes.com/m/the-fighter/,R,Christian Bale,Mark Wahlberg,no,tt0964517
First Knight,1995,FAIL,Drama,51,47,55,//www.rottentomatoes.com/m/first_knight/,PG-13,Sean Connery,Richard Gere,no,tt0113071
Memento,2e3,FAIL,Mystery & Suspense,93,92,94,//www.rottentomatoes.com/m/memento/,R,Guy Pearce,Joe Pantoliano,no,tt0209144
Dream House,2011,PASS,Mystery & Suspense,21,6,36,//www.rottentomatoes.com/m/dream_house_2011/,PG-13,Daniel Craig,Rachel Weisz,no,tt1462041
The Help,2011,PASS,Drama,82.5,76,89,//www.rottentomatoes.com/m/the_help/,PG-13,Emma Stone,Viola Davis,no,tt1454029
A Scanner Darkly,2006,FAIL,Drama,71.5,69,74,//www.rottentomatoes.com/m/scanner_darkly/,R,Keanu Reeves,Robert Downey Jr.,no,tt0405296
This Is the End,2013,FAIL,Drama,77,83,71,//www.rottentomatoes.com/m/this_is_the_end/,R,James Franco,Jonah Hill,no,tt1245492
Star Trek: Insurrection,1998,PASS,Action & Adventure,50,55,45,//www.rottentomatoes.com/m/star_trek_insurrection/,PG,Brent Spiner,Michael Dorn,no,tt0120844
Tim and Eric's Billion Dollar Movie,2012,FAIL,Comedy,42.5,38,47,//www.rottentomatoes.com/m/tim_and_erics_billion_dollar_movie/,R,Tim Heidecker,Eric Wareheim,no,tt1855401
Hulk,2003,FAIL,Action & Adventure,45,61,29,//www.rottentomatoes.com/m/hulk/,PG-13,Eric Bana,Jennifer Connelly,no,tt0286716
Veronica Mars,2014,PASS,Drama,78.5,78,79,//www.rottentomatoes.com/m/veronica_mars/,PG-13,Kristen Bell,Ryan Hansen,no,tt2771372
Date Night,2010,PASS,Comedy,61,67,55,//www.rottentomatoes.com/m/date_night/,PG-13,Steve Carell,Tina Fey,no,tt1279935
Anchorman 2: The Legend Continues,2013,PASS,Comedy,63.5,75,52,//www.rottentomatoes.com/m/anchorman_2_the_legend_continues/,PG-13,Will Ferrell,Paul Rudd,no,tt1229340
Melancholia,2011,PASS,Drama,73,79,67,//www.rottentomatoes.com/m/melancholia-2008/,R,Kirsten Dunst,Charlotte Gainsbourg,no,tt1527186
Boomerang,1992,PASS,Comedy,50,40,60,//www.rottentomatoes.com/m/1039796-boomerang/,R,Eddie Murphy,Robin Givens,no,tt0103859
The Man with the Golden Gun,1974,FAIL,Drama,51,45,57,//www.rottentomatoes.com/m/man_with_the_golden_gun/,PG,Roger Moore,Christopher Lee,no,tt0071807
Diner,1982,FAIL,Drama,84.5,91,78,//www.rottentomatoes.com/m/diner/,R,Steve Guttenberg,Daniel Stern,no,tt0083833
Cecil B. Demented,2e3,PASS,Comedy,60,53,67,//www.rottentomatoes.com/m/cecil_b_demented/,R,Stephen Dorff,Melanie Griffith,no,tt0173716
Ragtime,1981,FAIL,Drama,83,90,76,//www.rottentomatoes.com/m/ragtime/,PG,James Cagney,Elizabeth McGovern,no,tt0082970
One Day,2011,FAIL,Drama,42.5,36,49,//www.rottentomatoes.com/m/one_day_2014/,PG-13,Anne Hathaway,Jim Sturgess,no,tt1563738
The Groove Tube,1974,FAIL,Other,36.5,13,60,//www.rottentomatoes.com/m/groove_tube/,R,Mary Mendham,Richard Belzer,no,tt0071583
Glory,1989,FAIL,Drama,93,93,93,//www.rottentomatoes.com/m/1008415-glory/,R,Matthew Broderick,Denzel Washington,no,tt0097441
The Ninth Gate,1999,FAIL,Mystery & Suspense,49,41,57,//www.rottentomatoes.com/m/ninth_gate/,R,Johnny Depp,Frank Langella,no,tt0142688
New York Minute,2004,FAIL,Action & Adventure,29,11,47,//www.rottentomatoes.com/m/new_york_minute/,PG,Eugene Levy,Andy Richter,no,tt0363282
Blue Valentine,2010,FAIL,Drama,82.5,88,77,//www.rottentomatoes.com/m/blue_valentine/,R,Ryan Gosling,Michelle Williams,no,tt1120985
The Other Sister,1999,PASS,Drama,50.5,29,72,//www.rottentomatoes.com/m/other_sister/,PG-13,Juliette Lewis,Diane Keaton,no,tt0123209
Good Will Hunting,1997,FAIL,Drama,95.5,97,94,//www.rottentomatoes.com/m/good_will_hunting/,R,Matt Damon,Robin Williams,no,tt0119217
Happy Feet,2006,PASS,Other,72.5,75,70,//www.rottentomatoes.com/m/happy_feet/,PG,Elijah Wood,Robin Williams,no,tt0366548
The Prestige,2006,FAIL,Drama,84,76,92,//www.rottentomatoes.com/m/prestige/,PG-13,Hugh Jackman,Christian Bale,no,tt0482571
The Science of Sleep,2006,PASS,Drama,76,71,81,//www.rottentomatoes.com/m/the_science_of_sleep/,R,Gael Garcia Bernal,Miou Miou,no,tt0354899
Gracie,2007,PASS,Drama,59,60,58,//www.rottentomatoes.com/m/gracie/,PG-13,Carly Schroeder,Elisabeth Shue,no,tt0441007
The Little Rascals,1994,FAIL,Comedy,47.5,25,70,//www.rottentomatoes.com/m/the_little_rascals_1994/,PG,Travis Tedford,Bug Hall,no,tt0110366
Moonstruck,1987,PASS,Drama,86.5,92,81,//www.rottentomatoes.com/m/moonstruck/,PG,Cher,Nicolas Cage,no,tt0093565
The Postman,1997,FAIL,Action & Adventure,29,9,49,//www.rottentomatoes.com/m/postman/,R,Will Patton,Larenz Tate,no,tt0119925
While You Were Sleeping,1995,PASS,Drama,79.5,80,79,//www.rottentomatoes.com/m/while_you_were_sleeping/,PG,Sandra Bullock,Bill Pullman,no,tt0114924
No Country for Old Men,2007,PASS,Drama,89.5,93,86,//www.rottentomatoes.com/m/no_country_for_old_men/,R,Tommy Lee Jones,Javier Bardem,no,tt0477348
The Fifth Element,1997,FAIL,Drama,79,71,87,//www.rottentomatoes.com/m/fifth_element/,PG-13,Bruce Willis,Ian Holm,no,tt0119116
The Frozen Ground,2013,PASS,Mystery & Suspense,55,60,50,//www.rottentomatoes.com/m/the_frozen_ground/,R,Nicolas Cage,John Cusack,no,tt2005374
Robin Hood,1973,PASS,Action & Adventure,65.5,50,81,//www.rottentomatoes.com/m/1017699-robin_hood/,G,Brian Bedford,Phil Harris,no,tt0070608
Swordfish,2001,FAIL,Drama,43,26,60,//www.rottentomatoes.com/m/swordfish/,R,John Travolta,Hugh Jackman,no,tt0244244
Dark Skies,2013,FAIL,Mystery & Suspense,44.5,40,49,//www.rottentomatoes.com/m/dark_skies_2013/,PG-13,Keri Russell,Josh Hamilton,no,tt2387433
The Time Traveler's Wife,2009,PASS,Drama,48.5,38,59,//www.rottentomatoes.com/m/time_travelers_wife/,PG-13,Rachel McAdams,Eric Bana,no,tt0452694
Breathless,1983,FAIL,Drama,58,67,49,//www.rottentomatoes.com/m/1003066-breathless/,R,Richard Gere,Valerie Kaprisky,no,tt0085276
Love Actually,2003,PASS,Comedy,68,63,73,//www.rottentomatoes.com/m/love_actually/,R,Bill Nighy,Hugh Grant,no,tt0314331
Live and Let Die,1973,FAIL,Mystery & Suspense,65.5,66,65,//www.rottentomatoes.com/m/live_and_let_die/,PG,Roger Moore,Yaphet Kotto,no,tt0070328
What's Cooking?,2e3,PASS,Drama,58,52,64,//www.rottentomatoes.com/m/whats_cooking/,PG-13,Kyra Sedgwick,Mercedes Ruehl,no,tt0197096
The Funeral,1996,PASS,Drama,73.5,79,68,//www.rottentomatoes.com/m/1074517-funeral/,R,Christopher Walken,Chris Penn,no,tt0116378
Trainspotting,1996,FAIL,Drama,91,89,93,//www.rottentomatoes.com/m/trainspotting/,R,Ewan McGregor,Ewen Bremner,no,tt0117951
UHF,1989,FAIL,Other,70,63,77,//www.rottentomatoes.com/m/uhf/,PG,Victoria Jackson,Weird Al Yankovic,no,tt0098546
Lola Versus,2012,PASS,Comedy,33,35,31,//www.rottentomatoes.com/m/lola_versus/,R,Greta Gerwig,Joel Kinnaman,no,tt1710417
The Perfect Score,2004,PASS,Drama,30.5,17,44,//www.rottentomatoes.com/m/perfect_score/,PG-13,Erika Christensen,Scarlett Johansson,no,tt0314498
A Perfect Getaway,2009,PASS,Mystery & Suspense,56.5,61,52,//www.rottentomatoes.com/m/a_perfect_getaway/,R,Steve Zahn,Timothy Olyphant,no,tt0971209
Candy,2006,PASS,Drama,63,49,77,//www.rottentomatoes.com/m/candy/,R,Heath Ledger,Abbie Cornish,no,tt0424880
