,imdb_id,title,year,bechdel
0,tt6142496,6 Balloons,2018,PASS
1,tt6644200,A Quiet Place,2018,FAIL
2,tt7040874,A Simple Favor,2018,PASS
3,tt1517451,A Star Is Born,2018,PASS
4,tt1620680,A Wrinkle in Time,2018,PASS
5,tt5688996,Alex Strangelove,2018,FAIL
6,tt4244998,Alpha,2018,FAIL
7,tt6212478,American Animals,2018,FAIL
8,tt8020896,An Elephant Sitting Still (Da xiang xi di er zuo),2018,FAIL
9,tt2798920,Annihilation,2018,PASS
10,tt5095030,Ant-Man and the Wasp,2018,PASS
11,tt6217306,Apostle,2018,PASS
12,tt7156222,Au poste!,2018,FAIL
13,tt4154756,Avengers: Infinity War,2018,PASS
14,tt6412452,The Ballad of Buster Scruggs,2018,FAIL
15,tt5861756,Bella Ciao!,2018,PASS
16,tt1825683,Black Panther,2018,PASS
17,tt7349662,BlacKkKlansman,2018,PASS
18,tt7242142,Blindspotting,2018,FAIL
19,tt2531344,Blockers,2018,PASS
20,tt1727824,Bohemian Rhapsody,2018,FAIL
21,tt6857166,Book Club,2018,PASS
22,tt7282468,Burning,2018,FAIL
23,tt4595882,Can You Ever Forgive Me?,2018,PASS
24,tt7485508,Carmen y Lola,2018,PASS
25,tt4575576,Christopher Robin,2018,FAIL
26,tt2548396,The Cloverfield Paradox,2018,PASS
27,tt3104988,Crazy Rich Asians,2018,PASS
28,tt6343314,Creed II,2018,PASS
29,tt4073790,The Darkest Minds,2018,PASS
30,tt5463162,Deadpool 2,2018,FAIL
31,tt4878482,Dumplin',2018,PASS
32,tt4701724,Early Man,2018,FAIL
33,tt7014006,Eighth Grade,2018,PASS
34,tt7555774,En guerre,2018,FAIL
35,tt7534068,En liberte!,2018,FAIL
36,tt4123430,Fantastic Beasts: The Crimes of Grindelwald,2018,FAIL
37,tt5083738,The Favourite,2018,PASS
38,tt1213641,First Man,2018,PASS
39,tt6133466,The First Purge,2018,FAIL
40,tt2704998,Game Night,2018,PASS
41,tt5177088,The Girl in the Spider's Web,2018,PASS
42,tt6966692,Green Book,2018,FAIL
43,tt1289403,The Guernsey Literary and Potato Peel Pie Society,2018,PASS
44,tt1502407,Halloween,2018,PASS
45,tt5580266,The Hate U Give,2018,PASS
46,tt7158430,Hearts Beat Loud,2018,PASS
47,tt7875464,The Heiresses,2018,PASS
48,tt7784604,Hereditary,2018,PASS
49,tt5057140,Hold the Dark,2018,FAIL
50,tt2119543,The House with a Clock in Its Walls,2018,FAIL
51,tt6791096,I Feel Pretty,2018,PASS
52,tt3606756,Incredibles 2,2018,PASS
53,tt5104604,Isle of Dogs,2018,PASS
54,tt7527538,Jefe,2018,FAIL
55,tt6921996,Johnny English Strikes Again,2018,FAIL
56,tt4881806,Jurassic World: Fallen Kingdom,2018,PASS
57,tt6929642,Kaala,2018,PASS
58,tt3799232,The Kissing Booth,2018,PASS
59,tt6892462,Le monde est a toi,2018,FAIL
60,tt3892172,Leave No Trace,2018,PASS
61,tt5619332,Life of the Party,2018,PASS
62,tt7853242,Love per square foot,2018,PASS
63,tt5164432,"Love, Simon",2018,FAIL
64,tt6911608,Mamma Mia! Here We Go Again,2018,PASS
65,tt1318517,The Man Who Killed Don Quixote,2018,FAIL
66,tt6998518,Mandy,2018,FAIL
67,tt4500922,Maze Runner: The Death Cure,2018,PASS
68,tt4779682,The Meg,2018,PASS
69,tt5613484,Mid90s,2018,FAIL
70,tt4912910,Mission Impossible: Fallout,2018,FAIL
71,tt7745068,My hero academia: Two heroes,2018,PASS
72,tt7869818,My Little Pony Equestria Girls: Forgotten Friendship,2018,PASS
73,tt0365545,Nappily Ever Aftet,2018,PASS
74,tt5164214,Ocean's 8,2018,PASS
75,tt2557478,Pacific Rim: Uprising,2018,PASS
